question_id,domain,question_type,prompt_type,response_accuracy,source_validity
16,Law,broad,verification,yes,yes
16,Law,broad,icl,yes,yes
17,Law,broad,direct,yes,yes
17,Law,broad,precise,yes,yes
17,Law,broad,verification,yes,yes
17,Law,broad,icl,yes,yes
18,Law,broad,direct,yes,yes
18,Law,broad,precise,yes,yes
18,Law,broad,verification,yes,yes
18,Law,broad,icl,yes,yes
19,Law,broad,direct,yes,yes
19,Law,broad,precise,yes,yes
19,Law,broad,verification,yes,yes
19,Law,broad,icl,yes,yes
20,Tech,niche,direct,yes,yes
20,Tech,niche,precise,yes,yes
20,Tech,niche,verification,yes,yes
20,Tech,niche,icl,yes,no
21,Tech,niche,direct,yes,yes
21,Tech,niche,precise,yes,yes
21,Tech,niche,verification,yes,yes
21,Tech,niche,icl,yes,yes
22,Tech,niche,direct,yes,yes
22,Tech,niche,precise,yes,yes
22,Tech,niche,verification,yes,yes
22,Tech,niche,icl,yes,yes
23,Tech,niche,direct,yes,yes
23,Tech,niche,precise,yes,yes
23,Tech,niche,verification,yes,yes
23,Tech,niche,icl,yes,yes
24,Tech,niche,direct,yes,yes
24,Tech,niche,precise,yes,yes
24,Tech,niche,verification,yes,yes
24,Tech,niche,icl,yes,yes
25,Tech,broad,direct,yes,yes
25,Tech,broad,precise,yes,yes
25,Tech,broad,verification,yes,yes
25,Tech,broad,icl,yes,yes
26,Tech,broad,direct,yes,yes
26,Tech,broad,precise,yes,yes
26,Tech,broad,verification,yes,yes
26,Tech,broad,icl,yes,yes
27,Tech,broad,direct,yes,yes
27,Tech,broad,precise,yes,yes
27,Tech,broad,verification,yes,yes
27,Tech,broad,icl,yes,yes
28,Tech,broad,direct,yes,yes
28,Tech,broad,precise,yes,yes
28,Tech,broad,verification,yes,yes
28,Tech,broad,icl,yes,yes
24,Tech,broad,direct,yes,yes
29,Tech,broad,precise,yes,yes
29,Tech,broad,verification,yes,yes
29,Tech,broad,icl,yes,yes
30,Sports,niche,direct,yes,yes
30,Sports,niche,precise,yes,yes
30,Sports,niche,verification,yes,yes
30,Sports,niche,icl,yes,yes
31,Sports,niche,direct,yes,yes
31,Sports,niche,precise,yes,yes
31,Sports,niche,verification,yes,yes
31,Sports,niche,icl,yes,yes
32,Sports,niche,direct,yes,yes
32,Sports,niche,precise,yes,yes
32,Sports,niche,verification,yes,yes
32,Sports,niche,icl,yes,yes
33,Sports,niche,direct,yes,yes
33,Sports,niche,precise,yes,yes
33,Sports,niche,verification,yes,yes
33,Sports,niche,icl,yes,yes
34,Sports,niche,direct,yes,yes
34,Sports,niche,precise,yes,yes
34,Sports,niche,verification,yes,yes
34,Sports,niche,icl,yes,yes
35,Sports,broad,direct,yes,yes
35,Sports,broad,precise,yes,yes
35,Sports,broad,verification,yes,yes
35,Sports,broad,icl,yes,yes
36,Sports,broad,direct,yes,no
36,Sports,broad,precise,yes,no
36,Sports,broad,verification,yes,no
36,Sports,broad,icl,yes,no
37,Sports,broad,direct,yes,yes
37,Sports,broad,precise,yes,no
37,Sports,broad,verification,yes,no
37,Sports,broad,icl,yes,yes
38,Sports,broad,direct,yes,yes
38,Sports,broad,precise,yes,yes
38,Sports,broad,verification,yes,no
38,Sports,broad,icl,yes,yes
39,Sports,broad,direct,yes,yes
39,Sports,broad,precise,yes,yes
39,Sports,broad,verification,yes,yes
39,Sports,broad,icl,yes,yes
40,Fashion,niche,direct,yes,yes
40,Fashion,niche,precise,no,yes
40,Fashion,niche,verification,no,yes
40,Fashion,niche,icl,yes,yes
41,Fashion,niche,direct,yes,yes
41,Fashion,niche,precise,no,yes
41,Fashion,niche,verification,no,yes
41,Fashion,niche,icl,yes,yes
42,Fashion,niche,direct,yes,yes
42,Fashion,niche,precise,no,yes
42,Fashion,niche,verification,yes,yes
42,Fashion,niche,icl,no,yes
43,Fashion,niche,direct,yes,yes
43,Fashion,niche,precise,yes,yes
43,Fashion,niche,verification,no,yes
43,Fashion,niche,icl,yes,yes
44,Fashion,niche,direct,yes,yes
44,Fashion,niche,precise,no,yes
44,Fashion,niche,verification,yes,yes
44,Fashion,niche,icl,yes,yes
45,Fashion,broad,direct,yes,yes
45,Fashion,broad,precise,yes,yes
45,Fashion,broad,verification,yes,yes
45,Fashion,broad,icl,yes,yes
46,Fashion,broad,direct,yes,yes
46,Fashion,broad,precise,yes,yes
46,Fashion,broad,verification,yes,yes
46,Fashion,broad,icl,yes,yes
47,Fashion,broad,direct,yes,yes
47,Fashion,broad,precise,yes,yes
47,Fashion,broad,verification,yes,yes
47,Fashion,broad,icl,yes,yes
48,Fashion,broad,direct,yes,yes
48,Fashion,broad,precise,yes,yes
48,Fashion,broad,verification,yes,yes
48,Fashion,broad,icl,yes,yes
49,Fashion,broad,direct,yes,yes
49,Fashion,broad,precise,yes,yes
49,Fashion,broad,verification,yes,yes
49,Fashion,broad,icl,yes,yes
