question_id,domain,question_type,prompt_type,response_accuracy,source_validity
35,Sports,broad,direct,yes,no
35,Sports,broad,precise,yes,no
35,Sports,broad,verification,no,no
35,Sports,broad,icl,yes,no
36,Sports,broad,direct,yes,no
36,Sports,broad,precise,no,no
36,Sports,broad,verification,yes,no
36,Sports,broad,icl,yes,no
37,Sports,broad,direct,yes,yes
37,Sports,broad,precise,yes,no
37,Sports,broad,verification,yes,no
37,Sports,broad,icl,yes,no
38,Sports,broad,direct,yes,no
38,Sports,broad,precise,yes,no
38,Sports,broad,verification,yes,no
38,Sports,broad,icl,yes,no
39,Sports,broad,direct,yes,no
39,Sports,broad,precise,yes,no
39,Sports,broad,verification,yes,no
39,Sports,broad,icl,yes,yes
40,Fashion,niche,direct,no,no
40,Fashion,niche,precise,yes,no
40,Fashion,niche,verification,no,no
40,Fashion,niche,icl,yes,yes
41,Fashion,niche,direct,yes,no
41,Fashion,niche,precise,no,no
41,Fashion,niche,verification,yes,no
41,Fashion,niche,icl,yes,no
42,Fashion,niche,direct,no,no
42,Fashion,niche,precise,yes,no
42,Fashion,niche,verification,no,no
42,Fashion,niche,icl,no,no
43,Fashion,niche,direct,yes,no
43,Fashion,niche,precise,yes,no
43,Fashion,niche,verification,no,no
43,Fashion,niche,icl,no,no
44,Fashion,niche,direct,no,no
44,Fashion,niche,precise,yes,no
44,Fashion,niche,verification,no,no
44,Fashion,niche,icl,no,no
45,Fashion,broad,direct,yes,yes
45,Fashion,broad,precise,yes,yes
45,Fashion,broad,verification,yes,no
45,Fashion,broad,icl,no,no
46,Fashion,broad,direct,yes,no
46,Fashion,broad,precise,no,no
46,Fashion,broad,verification,no,no
46,Fashion,broad,icl,yes,no
47,Fashion,broad,direct,yes,yes
47,Fashion,broad,precise,yes,no
47,Fashion,broad,verification,yes,no
47,Fashion,broad,icl,yes,no
48,Fashion,broad,direct,yes,no
48,Fashion,broad,precise,yes,no
48,Fashion,broad,verification,yes,no
48,Fashion,broad,icl,yes,no
49,Fashion,broad,direct,yes,yes
49,Fashion,broad,precise,yes,yes
49,Fashion,broad,verification,yes,yes
49,Fashion,broad,icl,yes,no
